guest_id,event_timestamp,from_zone,to_zone,ride_name,ride_category,posted_wait_min,actual_wait_min,ride_duration_min,crowd_level,temperature_f,weather,festival,party_size,ticket_type,fun_score,frustration_score
27260,2025-11-05 14:51:37,World Showcase Japan,World Showcase American Adventure,,,,,,4.1,78.5,light_rain,Food & Wine,2,park_hopper,4.84,3.69
5284,2025-02-09 15:29:17,World Showcase American Adventure,World Showcase France,,,,,,4.1,55.8,clear,Festival of the Arts,5,standard,6.06,3.79
7950,2025-03-16 18:24:53,World Showcase France,World Discovery,Soarin' Around the World,Family,33.3,32.8,9.3,3.0,79.2,clear,Flower & Garden,3,standard,9.94,1.86
17722,2025-06-23 20:21:09,World Showcase Germany,World Showcase China,Soarin' Around the World,Family,36.5,29.7,10.3,1.6,80.7,clear,none,4,standard,7.92,1.63
19314,2025-07-13 20:44:03,World Celebration,World Discovery,Guardians of the Galaxy: Cosmic Rewind,Thrill,58.9,49.9,11.5,3.1,94.9,clear,none,1,annual_pass,10.0,2.49
5079,2025-02-09 16:39:34,World Nature,World Showcase Canada,Soarin' Around the World,Family,94.3,74.2,11.9,4.8,55.8,clear,Festival of the Arts,5,standard,9.48,4.31
20942,2025-07-24 11:47:34,World Showcase Germany,World Showcase Italy,,,,,,1.6,87.7,clear,none,6,standard,4.41,3.92
1295,2025-01-21 11:53:46,World Showcase France,World Showcase United Kingdom,,,,,,1.5,60.0,light_rain,Festival of the Arts,2,standard,5.08,1.89
13618,2025-05-31 13:44:32,Entrance,World Showcase France,,,,,,2.9,68.1,clear,Flower & Garden,4,park_hopper,4.41,4.04
6927,2025-02-24 09:20:00,World Discovery,World Showcase Japan,,,,,,1.0,59.0,storm,Festival of the Arts,2,standard,5.41,2.77
23965,2025-09-10 12:36:55,World Showcase China,World Showcase Norway,,,,,,6.3,74.6,clear,Food & Wine,2,standard,4.67,3.53
22119,2025-08-11 12:14:47,World Showcase Japan,World Showcase Morocco,,,,,,1.8,77.2,storm,Food & Wine,3,annual_pass,6.08,3.94
25128,2025-09-20 17:29:48,World Showcase American Adventure,World Showcase Japan,,,,,,6.7,82.0,cloudy,Food & Wine,2,annual_pass,7.74,5.36
4806,2025-02-08 18:12:39,World Celebration,World Showcase American Adventure,,,,,,4.5,55.0,clear,Festival of the Arts,3,annual_pass,5.62,5.01
18866,2025-07-04 12:25:59,World Showcase United Kingdom,World Showcase France,,,,,,2.9,98.0,light_rain,none,3,standard,6.55,2.78
20408,2025-07-20 12:08:34,World Celebration,World Discovery,,,,,,5.9,92.0,cloudy,none,4,standard,3.97,3.32
13328,2025-05-21 12:09:09,World Showcase Japan,World Showcase American Adventure,,,,,,1.0,76.5,storm,Flower & Garden,3,standard,4.18,2.57
18738,2025-07-04 12:01:00,Entrance,World Nature,,,,,,3.9,98.0,light_rain,none,5,park_hopper,5.64,2.08
15016,2025-06-09 14:39:53,World Showcase Germany,World Showcase China,,,,,,1.7,89.9,storm,none,3,standard,5.84,3.08
26423,2025-10-14 17:34:22,World Celebration,World Nature,,,,,,4.2,72.6,cloudy,Food & Wine,3,standard,4.11,3.47
3651,2025-02-01 18:42:35,World Showcase Germany,World Discovery,,,,,,3.3,64.4,light_rain,Festival of the Arts,2,annual_pass,6.71,3.46
17022,2025-06-21 13:48:46,World Showcase Germany,World Showcase China,The Seas with Nemo & Friends,Family,10.5,11.0,12.4,3.3,80.1,light_rain,none,4,park_hopper,6.48,1.51
10369,2025-04-15 14:24:12,World Showcase United Kingdom,World Showcase France,Spaceship Earth,Family,15.6,16.5,16.9,2.7,75.7,clear,Flower & Garden,3,standard,6.27,1.52
9262,2025-04-09 14:54:48,Entrance,World Nature,Gran Fiesta Tour,Family,6.8,5.4,8.4,2.3,76.4,clear,Flower & Garden,3,park_hopper,6.73,1.0
18381,2025-06-30 14:32:00,World Celebration,World Discovery,,,,,,2.4,84.5,clear,none,2,standard,6.41,4.39
